Genus	MB01F1	MB01F2	MB01F3	MB01F4	MB02F1	MB02F2	MB02F3	MB02F4	MB03F1	MB03F2	MB03F3	MB03F4	MB03F5	MB04F1	MB04F2	MB04F3	MB04F4	MB04F5	MB04F6	MB05F1	MB05F2	MB05F3	MB05F5	MB05F6	MB05F7	MB06F1	MB06F2	MB06F4	MB06F5	MB06F6	MB07F1	MB07F2	MB07F3	MB07F4	MB07F5	MB07F6	MB08F1	MB08F2	MB08F3	MB08F4	MB08F5	MB08F6	MB08F7	MB08F8	MB09F2	MB09F3	MB09F5	MB09F6	MB10F1	MB10F2	MB10F3	MB10F4	MB10F5	MB10F6	MB10F7	MB11F1	MB11F2	MB11F5	MB12F3	MB12F4	MB12F5	MB13F2	MB13F4	MB13F5	MB13F6	MB13F7	MB14F3	MB14F4	MB14F5	MB14F6	MB15F1	MB15F2	MB15F6	MB15F7	MB16F1	MB16F2	MB16F3	MB19F2	MB19F3	MB19F5	MB20F1	MB20F2	MB20F3	MB20F4	MB20F5	MB20F6
Unclassified	405.4503	891.2404	2401.9391	2213.1411	5678.3668	11478.2094	9840.4247	1989.457	2223.6161	1905.4728	3144.6387	9203.8488	6339.5106	3845.8701	4043.6431	7298.9991	5339.8524	14328.571	3545.5551	16456.107	17464.68	18706.5823	13196.978	8806.776	9063.312	235.7696	543.8229	789.4926	415.6106	560.8717	4369.1356	12980.0647	12010.7239	5333.5094	10631.1417	16096.4602	10428.8064	12466.0102	4749.7115	9290.4314	8396.6719	8860.0017	3602.504	6813.1063	47323.7159	70276.2789	33828.3051	10551.2097	10778.1309	19158.4107	5109.6974	1636.0941	4699.8933	4633.2265	2837.9583	12607.0691	10758.3865	250.2611	686.6139	3300.2681	10242.8337	1174.549	15667.8498	297.5687	454.358	7633.3395	997.0845	327.9875	650.1674	398.4582	915.4142	456.9246	25870.8118	914.1724	1085.3643	375.0631	1480.4851	942.3784	434.5204	1859.7274	475.8727	141.7939	174.4093	2169.8404	799.479	53947.9727
Absiella	2.097	0	2.5226	2.7006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter	154.2739	353.2569	354.8008	243.7698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidiphilium	0	0	3.0609	2.5316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.3329	117.933	36.6558	77.3076	110.1588	127.8709	32.1135	46.3941	22.6237	24.7811	0	0	0	0	0	0	0	0	0	0	0	5.0007	6.8102	0	0	0	0	0	0	57.1738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.6775
Acutalibacter	0	0	0	0	4.8844	8.8193	8.1184	4.6652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8066	5.5971	4.3568	0	0	0	0	0	0	7.0855	0	0	0	0	0	0	20.1216	71.1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia	0	0	0	0	0	15.6821	16.0322	0	0	0	0	0	0	0	8.1229	0	0	0	0	113.227	123.4322	173.2021	145.5502	39.5827	85.774	0	0	0	0	0	0	0	0	0	0	0	141.9484	139.3175	27.7275	160.4223	150.52	85.6885	41.4413	57.1701	0	0	0	0	0	34.9192	13.3542	5.2913	9.8837	48.118	44.301	224.9922	614.057	2.5016	0	0	0	0	0	0	0	13.4547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.9618	0	0	0	0	0
Alistipes	0	0	0	0	207.888	274.3338	350.8575	80.405	24.5832	10.2266	8.6304	13.3846	11.2859	43.0671	87.7269	113.2575	53.8014	184.441	39.5844	6.8312	6.8095	9.7948	6.2905	2.9869	3.23	0	0	0	0	0	176.0569	552.7901	540.923	248.6314	417.5568	351.456	556.0442	801.0029	343.7826	702.0619	599.2382	573.0724	179.7486	433.4732	1195.3712	1992.6813	367.9435	81.6961	108.5598	180.8882	43.8075	6.1732	19.7367	286.5263	145.3859	428.8248	854.8624	14.3975	11.211	0	0	0	0	0	2.6205	224.2568	6.4495	0	4.6974	0	2.5931	0	482.0282	14.7376	27.4434	17.6341	61.6744	43.3208	9.7056	83.4231	34.2329	0	5.2633	77.0182	12.1072	2401.5155
Anaerobutyricum	3.84	11.5577	15.9486	8.2775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6261	2.0709	2.4457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeromassilibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.434	22.7999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
